DSI_num,84,92,92-2,92-3,92-4,92-5,92-6,92-7,92-8,92-9,92-10,92-11,92-12,92-13,92-14
account,2,,,,,,,,,,,,,,
approach,3,,,,,,,,,,,,,,
balance,3,,,,,,,,,,,,,,
cause,2,,,,,,,,,,,,,,
China,3,14,,,,,,4,,8,,11,10,,11
Beijing,,2,,,,,,1,,,,,2,,6
presidentXiJinping,,,,,,,,,,,,,1,,1
contrast,2,,,,,,,,,,,,,,
countries,2,,,,,,,,,,,,,,
country,3,,,,,,,,,,,,,,
deficit,3,,,,,,,,,,,,,,
deficits,4,,,,,,,,,,,,,,
economists,3,,,,,,,,,,,,,,
ElectionCampaign,1,,,,,,,,,,,,,,
investment,2,,,,,,,,,,,,,,
losses,2,,,,,,,,,,,,,,
Mexico,2,,,,,,,,,,,,,,
NorthKorea,2,,,,,,,,,,,,,,
office,2,,,,,,,,,,,,,,
TradeAgreement,2,,,,,,,,,,,,,,
UnitedStates,6,,2,,,,,,,,,,,1,
America,,2,1,,,8,,,,6,,,,,
US,,15,,,,13,3,,6,,3,,,4,
U.S.,,,3,,,,,,,,,,,,
world,2,,,1,,5,,,,,,,,3,
WTO,2,,,,,,,,,,,,,,
year,2,,,,,,,,,,,,,,
presidentDonaldTrump,5,,1,1,,,,,1,,,,,,
WhiteHouse,,,,1,,2,,,1,,,,,,
Trump,,,7,5,14,6,4,5,,,3,,6,9,14
donaldTrump,,,,1,,,,,,,,,,,
AmericanPresident,,,,1,,,,,,,,,,,2
Washington,,,1,1,,,,1,,,,,,,
tariff,1,,2,,,,,,,2,,,7,,
tariffs,,9,2,,,,,3,,,,,,,
duties,,3,,,,,,,,,,,,,
trade,13,,,,,,,2,5,,,,5,7,
tradewar,,4,1,,,,,,,2,,,4,,
stockmarket,,1,,,,,,,,,,,,,
NewYorkmarket,,1,,,,,,,,,,,,,
WallStreet,,1,,,,,,,,,,,,,
markets,,2,,,,,,,,,,,,,
DowJones,1,,,,,,,,,,,,,,
aluminum,,,1,,,,,,,,,,1,,
aluminium,,4,,,,,,1,,,,,,,
exports,,3,,,,,,,,,,,,,
imports,,4,,,,,,,,,,,1,,
steel,,5,1,,,,,3,,,,,1,,
products,,3,2,,,,,,,,,,,,
soybeans,,2,,,,,,,,,,,,,
apples,,1,,,,,,,,,,,,,
FoodExporters,,1,,,,,,,,,,,,,
automobile,,,4,,,,,,,,,,,,
executive,,,3,,,,,,,,,,,,
Porche,,,2,,,,,,,,,,,,
response,,,2,,,,,,,,,,,,
sales,,,2,,,,,,,,,,,,
Twitter,,,2,1,,,,,,,,,,,
threat,,,2,1,,,,,,,,,,,
ChancellorAngelaMerkel,,,,1,,,,,,,,,,,
AngelaMerkel,,,1,1,,1,,,,,,,,,
EU,,,1,1,,,,3,,,,,,1,
Brussels,,,,,,,,,,,,,,1,
EuropeanUnion,,,,,,,,,,,,,,2,
Europeans,,,1,,,3,,,,,,,,,
Europe,,,,1,,,,1,,,,,,1,
Asians,,,1,,,,,,,,,,,,
BMW,,,1,,,,,,,,,,,,
Germanproducers,,,1,,,,,,,,,,,,
Americans,,,1,,,,,,,,,,,,
president,,,1,3,2,,,,,,,,,,4
war,,,,2,,,3,,,,,,,,
German,,,,2,,,,,,,,,,,
Germans,,,,1,,2,,,,,,,,,
Germany,,,,2,1,,,,,,,,,1,
Russia,,,,3,1,,,,,,4,,,1,
Moscow,,,,1,,,,,,,,,,,
Syria,,,,3,1,,2,,,,8,,,,
Damascus,,,,,,,,,,,5,,,,
Syrian,,,,1,,,4,,,,,,,,
West,,,,3,,,,,,,,,,,
western,,,,1,,,,,,,,,,,
chemicalweaponsattack,,,,1,,,,,,,,,,,
chemicalattacks,,,,,,,2,,,,,,,,
chemicalweapons,,,,2,,,3,,,,,,,,
chemicalweapon,,,,,,,,,,,7,,,,
Iran,,,,1,,,,,,,,,,,
Syrianwar,,,,1,,,,,,,,,,,
SaudiArabia,,,,1,,,,,,,,,,,
MiddleEast,,,,1,1,,,,,,,,,,
Russiainvestigation,,,,1,,,,,,,,,,,
Putin,,,,2,,,2,,,,,,,,
Russianthreat,,,,1,,,,,,,,,,,
Twitterthreat,,,,1,,,,,,,,,,,
France,,,,1,13,,,,,,,,,3,
Paris,,,,,3,,,,,,,,,,
Israel,,,,1,,,,,,,,,,,
terrorism,,,,,3,,,,,,,,,,
ISIS,,,,,3,,,,,,,,,,
Hollande,,,,,7,,,,,,,,,,
presidentFrançoisHollande,,,,,1,,,,,,,,,,
FrançoisHollande,,,,,1,,,,,,,,,,
LePen,,,,,2,,,,,,,,,,
election,,,,,2,,,,,,,,,,
ParisAccord,,,,,,1,,,,,,,,,
ParisClimateAccord,,,,,,2,,,,,,,,,
climate,,,,,,2,,,1,,,,,,
French,,,,,,2,,,,,,,,,
leadership,,,,,,4,,,,,,,,,
technology,,,,,,2,,,,3,,,,,
technologies,,,,,,,,,,,,,1,,
globalwarming,,,,,,3,,,,,,,,,
Macron,,,,,,1,,,,,,,,,
greenhousegasses,,,,,,1,,,,,,,,,
greenhousegasemmissions,,,,,,1,,,,,,,,,
RussianPresident,,,,,,,1,,,,,,,,
attack,,,,,3,,5,,,,,,,,
attacking,,,,,,,1,,,,,,,,
targets,,,,,,,2,,,,,,,,
military,,,,,,,6,,3,,2,2,,,
allies,,,,,,,2,,,,,,,,
strike,,,,,,,3,,,,4,,,,
strikes,,,,,,,2,,,,,,,,
law,,,,,,,2,,,,,,,,
Russian,,,,,,,4,,,,,,,1,
Douma,,,,,,,2,,,,2,,,,
Assadregime,,,,,,,3,,,,,,,,
PresidentBasharal-Assad,,,,,,,1,,,,1,,,,
state,,,,,,,,2,,,,,,,
economy,,,,,,,,2,,,,,,,
Japan,,,,,,,,1,,,,,,,
tradingsystem,,,,,,,,3,,,,,,,
AmericaFirst,,,,,,,,,4,,,,,,
American,,,,,,,,,5,,,,,,
jobs,,,,,,,,,3,,,,,,
tax,,,,,,,,,4,,,,,,
cybercapabilities,,,,,,,,,2,,,,,,
veterans,,,,,,,,,2,,,,,,
policy,,,,,,,,,3,,,,,2,
foreign,,,,,,,,,3,2,,,,,
growth,,,,,,,,,2,,,,,,
gasrevolution,,,,,,,,,1,,,,,,
shaleoil,,,,,,,,,1,,,,,,
coalindustry,,,,,,,,,1,,,,,,
energyrelationship,,,,,,,,,1,,,,,,
energyplan,,,,,,,,,1,,,,,,
subsidies,,,,,,,,,,2,,,,,
business,,,,,,,,,,2,,,,,
IP,,,,,,,,,,3,,,,,
companies,,,,,,,,,,3,,,,,
gas,,,,,,,,,,,3,,,,
chlorine,,,,,,,,,,,2,,,,
OPCW,,,,,,,,,,,4,,,,
globalcampaignplan,,,,,,,,,,,,4,,,
nationalsecurity,,,,,,,,,,,,2,,,
challenge,,,,,,,,,,,,3,,,
billion,,,,,,,,,,,,,12,,
surplus,,,,,,,,,,,,,3,,
UK,,,,,,,,,,,,,,3,
Britain,,,,,,,,,,,,,,2,
European,,,,,,,,,,,,,,4,
NATO,,,,,,,,,,,,,,1,
NATOAlliance,,,,,,,,,,,,,,1,
Brexit,,,,,,,,,,,,,,3,
economic,,,,,,,,,,,,,,2,
alliance,,,,,,,,,,,,,,2,
Canada,,,,,,,,,,,,,,1,
Hungary,,,,,,,,,,,,,,1,
media,,,,,,,,,,,,,,,8
press,,,,,,,,,,,,,,,5
Taiwan,,,,,,,,,,,,,,,2
SouthChinaSea,,,,,,,,,,,,,,,1
CommunistParty,,,,,,,,,,,,,,,4
jounalists,,,,,,,,,,,,,,,2
governmentalTradeAgreements,2,,,,,,,,6,,,,,4,
meatProducts,,3,,,,,,,,,,,,,
farmProducts,,3,,,,,,,,,,,,,
metalProducts,,3,3,,,,,4,,,,,,,
manufacturedProducts,,1,2,,,,,2,,,,,,,
usStockMarket,,2,,,,,,,,,,,,,
tradeProducts,,5,,,,,,,,,,,,,
tradeWar,,6,,,,,,,,,,,6,,
chineseExports,,1.5,,,,,,2,,,,,1.5,,
usExports,,4,4,,,,,1,,,,,2,,
germanExports,,,2.5,,,,,,,,,,,,
carMakers,,,4,,,,,,,,,,,,
cars,,,4,,,,,,,,,,,,
syrianWarUSAllies,,,,4,,,10,,,,,,,,
syrianWarUSOpposition,,,,4,,,6,,,,,,,,
chemicalWeaponAttack,,,,2,,,4,,,,9,,,,
globalTerrorism,,,,,4.5,,,,,,,,,,
terrorism,,,,,3,,,,,,,,,,
parisAttacks,,,,,3,,,,,,,,,,
globalWarming,,,,,,5,,,,,,,,,
climateAgreements,,,,,,7,,,,,,,,,
americaFirstPolicy,,,,,,,,,5,,,,,,
americanJobs,,,,,,,,,6,,,,,,
americanTaxes,,,,,,,,,4,,,,,,
energyPolicy,,,,,,,,,6,,,,,,
lawEnforcement,,,,,,,,,4,,,,,,
immigrationPolicy,,,,,,,,,4,,,,,,
chineseManufacturers,,,,,,,,,,2.5,,,,,
ipProtection,,,,,,,,,,3.5,,,,,
chineseWorkers,,,,,,,,,,4,,,,,
chemicalWeaponsProgram,,,,,,,,,,,10,,,,
chemicalWeaponsMonitors,,,,,,,,,,,4,,,,
syrianChemicalWeapons,,,1,,,,2,,,,7,,,,
americanMilitary,,,,,,,,,,,,8,,,
americanCongress,,,,,,,,,,,,7,,,
europeanUnion,,,,,,,,,,,,,,5,
chinesePress,,,,,,,,,,,,,,,3
americanPress,,,,,,,,,,,,,,,5
worldMedia,,,,,,,,,,,,,,,8.5